Tokens,SChinese,English
DOTA_Tooltip_ability_counter_helix_x,反击螺旋,
DOTA_Tooltip_ability_tiny_toss_x,投掷,
DOTA_Tooltip_ability_soldier_war_strike_Description,被动：每第3次攻击造成250%暴击伤害，并对前方扇形区域400范围内的敌人造成等额物理伤害。,
DOTA_Tooltip_ability_crystal_nova_x_Description,召唤具有破坏性的冰爆，降低目标区域内的敌人的移动速度。,
DOTA_Tooltip_ability_counter_helix_x_Description,受到一定次数攻击后，斜王就会做出螺旋反击，对附近所有敌方单位造成纯粹伤害。,
DOTA_Tooltip_ability_tiny_toss_x_Description,投掷的技能描述！（懒得去找了）你们自己看看这对不对吧！,
UnitNameCn_npc_guardian_zone_1,剑冢守卫,
UnitNameCn_npc_guardian_zone_2,枯木铁卫,
UnitNameCn_npc_guardian_zone_3,熔火精灵,
UnitNameCn_npc_guardian_zone_4,寒冰傀儡,
UnitNameCn_npc_guardian_zone_5,雷行兽,
UnitNameCn_npc_guardian_zone_6,遗迹守灵,
ItemCn_item_artifact_weapon_t0,蒙尘武器,
ItemCn_item_artifact_armor_t0,蒙尘衣甲,
ItemCn_item_artifact_helm_t0,蒙尘头冠,
ItemCn_item_artifact_accessory_t0,蒙尘饰品,
ItemCn_item_artifact_boots_t0,蒙尘靴子,
ItemCn_item_artifact_amulet_t0,蒙尘护符,
ItemCn_item_artifact_weapon_tier1,凡铁剑,
ItemCn_item_artifact_armor_tier1,凡铁甲,
ItemCn_item_artifact_helm_tier1,凡铁冠,
ItemCn_item_artifact_accessory_tier1,凡铁戒,
ItemCn_item_artifact_boots_tier1,凡铁靴,
ItemCn_item_artifact_amulet_tier1,凡铁令,
ItemCn_item_artifact_weapon_t2,精钢剑,
ItemCn_item_artifact_armor_t2,精钢甲,
ItemCn_item_artifact_helm_t2,精钢冠,
ItemCn_item_artifact_accessory_t2,精钢戒,
ItemCn_item_artifact_boots_t2,精钢靴,
ItemCn_item_artifact_amulet_t2,精钢令,
ItemCn_item_artifact_weapon_t3,玄玉剑,
ItemCn_item_artifact_armor_t3,玄玉甲,
ItemCn_item_artifact_helm_t3,玄玉冠,
ItemCn_item_artifact_accessory_t3,玄玉戒,
ItemCn_item_artifact_boots_t3,玄玉靴,
ItemCn_item_artifact_amulet_t3,玄玉令,
ItemCn_item_artifact_weapon_t4,天仙剑,
ItemCn_item_artifact_armor_t4,天仙甲,
ItemCn_item_artifact_helm_t4,天仙冠,
ItemCn_item_artifact_accessory_t4,天仙戒,
ItemCn_item_artifact_boots_t4,天仙靴,
ItemCn_item_artifact_amulet_t4,天仙令,
ItemCn_item_artifact_weapon_t5,天诛,
ItemCn_item_artifact_armor_t5,天铠,
ItemCn_item_artifact_helm_t5,天冕,
ItemCn_item_artifact_accessory_t5,天环,
ItemCn_item_artifact_boots_t5,天履,
ItemCn_item_artifact_amulet_t5,天印,
ItemCn_item_buy_constitution,根骨丹,
ItemCn_item_buy_martial,武道丹,
ItemCn_item_buy_divinity,神念丹,
ItemCn_item_scroll_gacha,演武残卷,
ItemCn_item_ask_dao_lot,问道签,
ItemCn_item_derive_paper,衍法灵笺,
ItemCn_item_blank_rubbing,空白拓本,
ItemCn_item_upgrade_stone_1,悟道石·凡,
ItemCn_item_upgrade_stone_2,悟道石·灵,
ItemCn_item_upgrade_stone_3,悟道石·仙,
ItemCn_item_upgrade_stone_4,悟道石·神,
ItemCn_item_book_martial_cleave_1,武道·横扫 技能书,
ItemDesc_item_artifact_weapon_t0,蒙尘古剑，剑意未消，似在等待有缘人将其唤醒。,
ItemDesc_item_artifact_armor_t0,残破衣甲，余温尚存，仿佛在诉说昔日荣光。,
ItemDesc_item_artifact_helm_t0,灵光黯淡的法冠，静待有缘人唤醒其中神念。,
ItemDesc_item_artifact_accessory_t0,蒙尘法戒，杀意犹存，隐隐散发凌厉之气。,
ItemDesc_item_artifact_boots_t0,千里之行，始于足下，此靴似曾踏遍山河。,
ItemDesc_item_artifact_amulet_t0,古旧符令，隐藏万法归一之力。,
ItemDesc_item_artifact_weapon_tier1,千锤百炼的凡铁之剑，虽非神兵，却能斩妖辟邪。,
ItemDesc_item_artifact_armor_tier1,凡铁锻造的甲胄，虽朴实无华，却坚不可摧。,
ItemDesc_item_artifact_helm_tier1,凡铁所铸法冠，灵力流转其间，增强神念感知。,
ItemDesc_item_artifact_accessory_tier1,凡铁精工之戒，佩戴者出手必中要害。,
ItemDesc_item_artifact_boots_tier1,凡铁轻靴，履之如风，步若疾风追月。,
ItemDesc_item_artifact_amulet_tier1,凡铁铸令，四维增益，万法归宗。,
ItemDesc_item_artifact_weapon_t2,精钢淬炼，剑锋所指，万邪退避，破甲无双。,
ItemDesc_item_artifact_armor_t2,精钢铠甲，刀枪不入，护主周全，固若金汤。,
ItemDesc_item_artifact_helm_t2,精钢法冠，灵力涌动，心神澄明，法力不竭。,
ItemDesc_item_artifact_accessory_t2,精钢法戒，会心四溢，一击致命，摧枯拉朽。,
ItemDesc_item_artifact_boots_t2,精钢战靴，闪避自如，来去无踪，步法通神。,
ItemDesc_item_artifact_amulet_t2,精钢符令，全属提升，减伤护体，攻守兼备。,
ItemDesc_item_artifact_weapon_t3,玄玉铸剑，剑气冲霄，斩尽天下不平事。,
ItemDesc_item_artifact_armor_t3,玄玉灵甲，万法不侵，御敌于千里之外。,
ItemDesc_item_artifact_helm_t3,玄玉神冠，通天彻地，法力无边，万灵俯首。,
ItemDesc_item_artifact_accessory_t3,玄玉灵戒，一击必杀，天地为之变色。,
ItemDesc_item_artifact_boots_t3,玄玉神行靴，缩地成寸，天地之间任我行。,
ItemDesc_item_artifact_amulet_t3,玄玉符令，天地共鸣，万法归一，攻守无双。,
ItemDesc_item_artifact_weapon_t4,天仙神剑，斩破苍穹，万物臣服于剑意之下。,
ItemDesc_item_artifact_armor_t4,天仙圣甲，天地护佑，刀枪水火皆不侵。,
ItemDesc_item_artifact_helm_t4,天仙灵冠，洞悉天机，神念覆盖三千世界。,
ItemDesc_item_artifact_accessory_t4,天仙神戒，触之即灭，天道亦为之颤抖。,
ItemDesc_item_artifact_boots_t4,天仙步云靴，踏虚御风，来去自如超脱尘世。,
ItemDesc_item_artifact_amulet_t4,天仙法令，号令万灵，天地归心，无上至尊。,
ItemDesc_item_artifact_weapon_t5,天诛地灭，一剑可斩天道苍穹。,
ItemDesc_item_artifact_armor_t5,永恒不灭，诸天万界无物可破。,
ItemDesc_item_artifact_helm_t5,全知全能，一念可观万界众生。,
ItemDesc_item_artifact_accessory_t5,必杀之力，一指可灭星辰日月。,
ItemDesc_item_artifact_boots_t5,超越时空，一步跨越三千世界。,
ItemDesc_item_artifact_amulet_t5,万法归宗，一符镇压诸天万界。,
ItemDesc_item_buy_constitution,服用后永久提升根骨属性。,
ItemDesc_item_buy_martial,服用后永久提升武道属性。,
ItemDesc_item_buy_divinity,服用后永久提升神性属性。,
ItemDesc_item_scroll_gacha,"天地为台，众生为戏。
随机获得<font color=""#c0c0c0"">1星</font><font color=""#66cc66"">2星</font>技能书。极小概率获得<font color=""#ffaa00"">4星</font>技能书。",
ItemDesc_item_ask_dao_lot,"大道三千，弱水三千。
选择<font color=""#ff6666"">武道</font>/<font color=""#66ccff"">神念</font>/<font color=""#ffcc66"">被动</font>，必得指定类型技能书。",
ItemDesc_item_derive_paper,"法无定法，式无定式。
将技能随机变为<font color=""#66ccff"">同星级</font>的另一个技能。",
ItemDesc_item_blank_rubbing,"前尘影事，皆可拓印。
将已学技能<font color=""#ff6666"">剥离</font>，变回<font color=""#66ccff"">技能书</font>放入背包。",
ItemDesc_item_upgrade_stone_1,"初窥门径，略有所得。
将<font color=""#c0c0c0"">1级</font>技能强化至<font color=""#66cc66"">2级</font>。",
ItemDesc_item_upgrade_stone_2,"灵光一闪，融会贯通。
将<font color=""#66cc66"">2级</font>技能强化至<font color=""#cc66ff"">3级</font>。",
ItemDesc_item_upgrade_stone_3,"羽化登仙，超脱凡俗。
将<font color=""#cc66ff"">3级</font>技能强化至<font color=""#ffaa00"">4级</font>。",
ItemDesc_item_upgrade_stone_4,"神恩如海，神威如狱。
强化<font color=""#ffaa00"">4星</font>技能至<font color=""#ff6666"">等级上限</font>。",
ItemDesc_item_book_martial_cleave_1,"学习后获得<font color=""#ffcc66"">被动技能</font>：攻击时对周围敌人造成<font color=""#ff6666"">溅射伤害</font>",
UnitNameCn_npc_creep_train_tier1,一阶·游荡梦魇,
UnitNameCn_npc_creep_train_tier2,二阶·血肉傀儡,
UnitNameCn_npc_creep_train_tier3,三阶·禁忌信徒,
UnitNameCn_npc_creep_train_tier4,四阶·虚空行者,
UnitNameCn_npc_creep_train_tier5,五阶·噩梦骑士,
UnitNameCn_npc_creep_train_tier6,六阶·古神眷属,
UnitNameCn_npc_creep_train_tier7,七阶·混沌衍生物,
UnitNameCn_npc_creep_train_tier8,八阶·神孽,
